day_number,date,rate
0,2025-04-16,41.1753
1,2025-04-17,41.2152
2,2025-04-18,41.3825
3,2025-04-19,41.3825
4,2025-04-20,41.3825
5,2025-04-21,41.3955
6,2025-04-22,41.3785
7,2025-04-23,41.5185
8,2025-04-24,41.6707
9,2025-04-25,41.689
10,2025-04-26,41.689
11,2025-04-27,41.689
12,2025-04-28,41.7513
13,2025-04-29,41.7441
14,2025-04-30,41.5647
15,2025-05-01,41.4706
16,2025-05-02,41.5945
17,2025-05-03,41.5945
18,2025-05-04,41.5945
19,2025-05-05,41.7091
20,2025-05-06,41.6036
21,2025-05-07,41.4544
22,2025-05-08,41.4388
23,2025-05-09,41.5113
24,2025-05-10,41.5113
25,2025-05-11,41.5113
26,2025-05-12,41.547
27,2025-05-13,41.5387
28,2025-05-14,41.5004
29,2025-05-15,41.5376
30,2025-05-16,41.4709
31,2025-05-17,41.60275161290322
32,2025-05-18,41.607728427419346
33,2025-05-19,41.61270524193548
34,2025-05-20,41.617682056451606
35,2025-05-21,41.62265887096773
36,2025-05-22,41.62763568548387
37,2025-05-23,41.63261249999999
38,2025-05-24,41.63758931451612
39,2025-05-25,41.642566129032254
40,2025-05-26,41.64754294354838
